total,marca,modelo,año,color,fuel_type,puertas,tipo,motor,tipo_cuerpo,kilometros,moneda
16477.0,Renault,Duster,2017,Blanco,Nafta,5.0,Manual,1.6,SUV,60000,dólares
13647.0,Peugeot,Partner,2016,Gris,Diésel,4.0,Manual,1.6,Furgón,74000,dólares
36637.0,Volkswagen,Amarok,2019,Azul,Diésel,4.0,Automática,2.0,Pick-Up,69000,dólares
14151.0,Citroën,C-Elysée,2019,Azul,Diésel,4.0,Manual,1.6,Sedán,53000,dólares
18531.0,Renault,Duster Oroch,2019,Blanco,Nafta,4.0,Manual,1.6,SUV,60000,dólares
13530.0,Fiat,Argo,2019,Gris,Nafta,5.0,Manual,1.3,Hatchback,18000,dólares
12406.0,Nissan,Sentra,2014,Negro,Nafta,4.0,Automática,2.0,Sedán,96000,dólares
13530.0,Fiat,Cronos,2019,Blanco,Nafta,4.0,Manual,1.8,Sedán,86000,dólares
10428.0,Peugeot,408,2013,Gris,Diésel,4.0,Manual,1.6,Sedán,89000,dólares
13530.0,Chevrolet,Spin,2016,Gris,Nafta/GNC,5.0,Manual,1.8,Monovolumen,98000,dólares
20896.0,Nissan,Kicks,2018,Plateado,Nafta,5.0,Automática,1.6,Hatchback,59000,dólares
12980.0,Citroën,Aircross,2017,Gris,Nafta,5.0,Manual,1.5,Hatchback,61389,dólares
13189.0,Chevrolet,Cruze,2014,Gris,Nafta,4.0,Manual,1.8,Sedán,61389,dólares
15469.0,Volkswagen,Suran Cross,2016,Gris,Nafta,5.0,Manual,1.6,Monovolumen,39000,dólares
16500.0,Honda,CR-V,2010,Celeste,Nafta,5.0,Automática,2.4,SUV,138000,dólares
17795.0,Volkswagen,Saveiro,2020,Blanco,Nafta,2.0,Manual,1.6,Pick-Up,35000,dólares
13720.0,Honda,Fit,2013,Gris,Nafta,5.0,Manual,1.5,Hatchback,110000,dólares
14445.0,Ford,Focus III,2017,Gris,Nafta,5.0,Manual,1.6,Hatchback,56100,dólares
14344.0,Ford,Fiesta Kinetic Design,2017,Celeste,Nafta,5.0,Manual,1.6,Hatchback,43000,dólares
22874.0,Fiat,Toro,2017,Rojo,Diésel,4.0,Automática,2.0,Pick-Up,118000,dólares
6784.0,Volkswagen,Gol Trend,2009,Plateado,Nafta,5.0,Manual,1.6,Hatchback,119000,dólares
14613.0,Ford,Ecosport,2015,Plateado,Nafta,5.0,Manual,1.6,SUV,51834,dólares
11359.0,Toyota,Corolla,2011,Gris,Nafta,4.0,Automática,1.8,Sedán,167000,dólares
7366.0,Chevrolet,Celta,2012,Rojo,Nafta,3.0,Manual,1.4,Hatchback,101000,dólares
95000.0,BMW,Serie 4,2022,Negro,Nafta,2.0,Automática,2.0,Coupé,21000,dólares
12018.0,Chevrolet,Onix,2018,Gris,Nafta/GNC,5.0,Manual,1.4,Hatchback,62300,dólares
14655.0,Ford,Fiesta Kinetic Design,2017,Gris,Nafta,5.0,Manual,1.6,Hatchback,44607,dólares
11049.0,Peugeot,308,2012,Azul,Nafta,5.0,Manual,2.0,Hatchback,130000,dólares
9692.0,Citroën,C3 Picasso,2012,Blanco,Nafta,5.0,Manual,1.6,Hatchback,112000,dólares
7366.0,Fiat,Palio,2011,Gris,Nafta,5.0,Manual,1.6,Rural,190000,dólares
